Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,assessmentdatabank_tracking,,text,Record ID,,,,,,,,,,,,,
assess_id_a1,assessmentdatabank_tracking,,text,A1. Assessment ID# ,,YYYY0000AA,,,,,,y,,,,,
dem_location_a2,assessmentdatabank_tracking,,radio,A2. Completion Location ,"0, Vista | 1, FRC",,,,,,,y,RH,,,, @HIDDEN-SURVEY
dem_completer_a3,assessmentdatabank_tracking,,dropdown,A3. Name of person completing SoC assessment  ,"1, Emily Bartlett | 2, Lindsey Johnson | 3, Russell Spotnitz | 4, Deborah Morrison | 5, Divya James | 6, Reanne Mathai | 7, Eric Richardson | 8, Will Trunnell | 9, Michael Limia | 10, Bair Diamond | 11, Harrison Matthews | 12, Benjamin Borgert | 13, Ellen Foley | 14, Rebecca Satz | 15, Ana Cruz | 16, Kervins Clements | 17, Brandon McConnell | 18, Sarah Michaud | 19, Molli Dodaro | 20, Daniel Hein | 21, Evan Curry | 22, Nastassja Luna | 23, Allison Romano | 24, Dustin Phan",,,,,,,y,,,,, @HIDDEN-SURVEY
dem_start_time_a4,assessmentdatabank_tracking,,text,A4. Assessment Date,,M-D-Y,date_mdy,,,y,,y,,,,, @HIDDEN-SURVEY
data_entry,assessmentdatabank_tracking,,dropdown,B4. Name of person entering data in REDCap ,"1, Emily Bartlett | 2, Lindsey Johnson | 3, Russell Spotnitz | 4, Deborah Morrison | 5, Divya James | 6, Reanne Mathai | 7, Eric Richardson | 8, Will Trunnell | 9, Michael Limia | 10, Bair Diamond | 11, Harrison Matthews | 12, Benjamin Borgert | 13, Ellen Foley | 14, Rebecca Satz | 15, Ana Cruz | 16, Kervins Clement | 17, Brandon McConnell | 18, Sarah Michaud | 19, Molli Dodaro | 20, Daniel Hein | 21, Evan Curry | 22, Nastassja Luna | 23, Allison Romano | 24, Dustin Phan",,,,,,,y,,,,, @HIDDEN-SURVEY
dem_banking_consent,assessmentdatabank_tracking,,yesno,B1. Has participant agreed to prospective databank?   ,,,,,,,,,RH,,,, @HIDDEN-SURVEY
dem_icf_completer,assessmentdatabank_tracking,,dropdown,B2. Name of person completing consent ,"0, Deborah Morrison | 1, Lisa Merlo | 2, Ellen Foley | 3, Michael Limia | 4, Reanne Mathai | 5, Dustin Phan",,,,,,[dem_banking_consent] = '1',,,,,, @HIDDEN-SURVEY
icf_date,assessmentdatabank_tracking,,text,B3. Date of signed consent ,,MM-DD-YYYY,date_mdy,,,y,[dem_banking_consent] = '1',,,,,, @HIDDEN-SURVEY
approve_recontact,assessmentdatabank_tracking,,yesno,B3a. Did patient approve post-discharge contact?  ,,,,,,,[dem_banking_consent] = '1',,,,,, @HIDDEN-SURVEY
